Issuer Name,Issuer location,,Issuer sector,Bond type,Bonds per type,Amount issued (USD bn.),Lastest External Review Form,"External  Reviewer
",Latest External Review Report
ASSICURAZIONI GENERALI S.P.A.,Italy,,Financials - Insurance,Sustainability,1,0.59bn,Jun-21,Sustainalytics,Jun-21
ASSISTANCE PUBLIQUE HOPITAUX DE PARIS,France,,SSA - Agencies,Social,5,0.30bn,,Vigeo Eiris,Feb-21
ASSURA FINANCING PLC,United Kingdom,,Financials - Real estate,Social,1,0.38bn,,ISS-Oekom,Sep-20
ASSURA FINANCING PLC,United Kingdom,,Financials - Real estate,Sustainability,1,0.42bn,,ISS-Oekom,Jun-21
ASTER TREASURY PLC,United Kingdom,,Financials - Real estate,Sustainability,1,0.34bn,Dec-20,S&P,Jan-21
ASTM SPA,Italy,,Corporate - Industrials,Sustainability Linked Bonds,3,3.39bn,,Vigeo Eiris,Nov-21
ATENOR,Belgium,,Financials - Real estate,Green,3,0.18bn,,ISS-Oekom,Feb-22
ATHON ENERGIA SA,Brazil,,Corporate - Energy,Green,1,0.02bn,Jul-20,Other,Jun-21
ATHON GERACAO DISTRIBUIDA SA,Brazil,,Corporate - Energy,Green,1,0.02bn,Jul-20,Other,Jun-21
ATLANTICA SUSTAINABLE INFRASTRUCTURE JERSEY LTD,Jersey,,Corporate - Utilities,Green,2,0.23bn,Mar-20,Sustainalytics,Mar-20
ATLANTICA YIELD PLC,United Kingdom,,Corporate - Utilities,Green,2,0.40bn,Mar-20,Sustainalytics,Mar-20
ATOS SE,France,,Corporate - Technology,Sustainability Linked Bonds,1,0.93bn,Oct-21,Sustainalytics,Oct-21
ATRIUM FINANCE PLC,Cyprus,,Financials - Specialty finance,Green,1,0.36bn,Feb-20,Sustainalytics,Feb-20
ATRIUM LJUNGBERG AB,Sweden,,Financials - Real estate,Green,17,1.06bn,,Cicero,Feb-22
ATRIUM LJUNGBERG AB,Sweden,,Financials - Real estate,Sustainability Linked Bonds,1,0.11bn,,Cicero,Feb-22
ATSINAUIJINANCIOS ENERGETIKOS INVESTICIJOS UAB,Lithuania,,Corporate - Utilities,Green,1,0.03bn,Oct-21,Sustainalytics,Oct-21
ATTISTIBAS FINANSU INSTITUCIJA ALTUM JSC,Latvia,,SSA - Agencies,Green,1,0.02bn,,Cicero,Sep-17
AUCKLAND COUNCIL,New Zealand,,SSA - Quasi-sovereigns,Green,7,1.56bn,,EY,Sep-22
AUDAX RENOVABLES SA,Spain,,Corporate - Utilities,Green,2,0.51bn,Apr-20,Vigeo Eiris,Apr-20
AUGA GROUP AB,Lithuania,,Corporate - Consumer Staples,Green,1,0.02bn,,Cicero,Nov-19
AUGSTSPRIEGUMA TIKLS AS,Latvia,,Corporate - Utilities,Green,1,0.12bn,,S&P,Oct-21
AURSKOG SPAREBANK,Norway,,Financials - Banking,Green,1,0.02bn,,Cicero,May-22
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,Australia,,Financials - Banking,Sustainability,4,4.00bn,Aug-20,EY,Aug-20
AUSTRALIAN CATHOLIC UNIVERSITY LTD,Australia,,Corporate - Consumer Discretionary,Sustainability,1,0.16bn,Jul-17,Sustainalytics,Jul-17
AUSTRIA (REPUBLIC OF),Austria,,SSA - Sovereigns,Green,2,7.56bn,,ISS-Oekom,Apr-22
AUTODESK INC,United States,,Corporate - Technology,Sustainability,1,1.00bn,Oct-21,Sustainalytics,Oct-21
AUTOLIV INC.,Sweden,,Corporate - Consumer Discretionary,Green,1,0.53bn,,Vigeo Eiris,Nov-21
AUTOSTRADE PER L'TALIA SPA,Italy,,Corporate - Industrials,Sustainability Linked Bonds,1,0.81bn,,Moody's,Nov-22
AUTOWALLIS NYRT,Hungary,,Financials - Financial services,Green,1,0.02bn,Jul-21,,
AVALONBAY COMMUNITIES INC,United States,,Financials - Real estate,Green,2,1.10bn,,,
AVANGRID INC,United States,,Corporate - Utilities,Green,3,2.10bn,,Vigeo Eiris,May-19
AVIC INTERNATIONAL FINANCE & INVESTMENT LTD,Virgin Islands,,Corporate - Industrials,Green,1,0.20bn,,S&P,Feb-22
AXA,France,,Financials - Insurance,Green,1,1.17bn,Mar-21,Sustainalytics,Mar-21
AXA LOGISTICS EUROPE MASTER S.C.A.,Luxembourg,,Financials - Real estate,Green,2,0.92bn,Oct-21,Sustainalytics,Oct-21
AXIS BANK LTD/GIFT CITY,India,,Financials - Banking,Green,1,0.04bn,,Climate Bonds Initiative Certified,May-16
AXIS BANK LTD/GIFT CITY,India,,Financials - Banking,Sustainability,2,0.60bn,Aug-21,Sustainalytics,Aug-21
AXPO HOLDING AG,Switzerland,,Corporate - Utilities,Green,1,0.14bn,,ISS-Oekom,Jul-20
AXPO HOLDING AG,Switzerland,,Corporate - Utilities,Sustainability Linked Bonds,4,1.05bn,,ISS-Oekom,Jan-22
AYDEM YENILENEBILIR ENERJI AS,Turkey,,Corporate - Energy,Green,2,0.75bn,Jul-21,Sustainalytics,Jul-21
AZURE POWER ENERGY LTD,Mauritius,,Corporate - Utilities,Green,2,0.41bn,,Climate Bonds Initiative Certified,Jul-17
AZURE POWER SOLAR ENERGY PVT LTD,Mauritius,,Corporate - Utilities,Green,2,0.70bn,,Other,Apr-19
B GRIMM POWER PCL,Thailand,,Corporate - Utilities,Green,3,0.19bn,,Climate Bonds Initiative Certified,May-22
"B3 S.A. – BRASIL, BOLSA, BALCÃO",Brazil,,Financials - Financial services,Sustainability Linked Bonds,2,0.70bn,Sep-21,Sustainalytics,Sep-21
BAIC MOTOR CORP LTD,China (mainland),,Corporate - Consumer Discretionary,Green,2,0.00bn,,Other,Sep-22
BAIDU INC,Cayman Islands,,Corporate - Communications,Sustainability,2,1.00bn,Aug-21,Sustainalytics,Aug-21
BALOISE HOLDING AG,Switzerland,,Financials - Insurance,Green,3,0.52bn,Aug-21,Sustainalytics,Aug-21
BANCA CARIGE SPA-CASSA DI RISPARMIO DI GENOVA E IMPERIA,Italy,,Financials - Banking,Social,2,0.46bn,,ISS-Oekom,Jun-21
BANCA COMERCIALA ROMANA S.A.,Romania,,Financials - Banking,Green,3,0.29bn,,ISS-Oekom,May-21
BANCA MEDIOLANUM S.P.A.,Italy,,Financials - Banking,Sustainability,1,0.31bn,,ISS-Oekom,Jul-22
BANCA POPOLARE DI SONDRIO SPA,Italy,,Financials - Banking,Green,1,0.59bn,Jul-21,Sustainalytics,Jul-21
BANCA SELLA S.P.A.,Italy,,Financials - Banking,Green,1,0.11bn,,ISS-Oekom,Jan-23
BANCO BILBAO VIZCAYA ARGENTARIA SA,Spain,,Financials - Banking,Green,6,5.14bn,,DNV GL,Oct-22
BANCO BILBAO VIZCAYA ARGENTARIA SA,Spain,,Financials - Banking,Social,2,2.28bn,,DNV GL,Aug-21
BANCO BPM SOCIETA PER AZIONI,Italy,,Financials - Banking,Green,4,2.63bn,,Other,Jul-21
BANCO BPM SOCIETA PER AZIONI,Italy,,Financials - Banking,Social,1,0.59bn,,ISS-Oekom,Jul-21
BANCO BRADESCO S.A.,Brazil,,Financials - Banking,Sustainability,2,0.50bn,Jan-22,Sustainalytics,Jan-22
BANCO BTG PACTUAL S.A.,Brazil,,Financials - Financial services,Green,3,0.55bn,Nov-20,Sustainalytics,Nov-20
