Issuer Name,Issuer location,,Issuer sector,Bond type,Bonds per type,Amount issued (USD bn.),Lastest External Review Form,"External  Reviewer
",Latest External Review Report
DL CONSTRUCTION CO LTD,Mauritius,,Corporate - Industrials,Sustainability,1,0.03bn,,Other,Aug-21
DL E&C CO LTD,Korea,,Corporate - Industrials,Sustainability,1,0.09bn,,Other,May-21
DLR KREDIT A/S,Denmark,,Financials - Consumer Finance,Green,1,0.00bn,,ISS-Oekom,Jun-22
DNB BANK ASA,Norway,,Financials - Banking,Green,9,5.45bn,Dec-21,Sustainalytics,Dec-21
DNB BOLIGKREDITT AS,Norway,,Financials - Banking,Green,4,4.62bn,Nov-20,Climate Bonds Initiative Certified,Jan-21
DOMINION ENERGY INC,United States,,Corporate - Utilities,Green,1,1.00bn,,,
DONGWON SYSTEMS CORP,Korea,,Corporate - Materials,Sustainability,1,0.03bn,,Other,Oct-21
DOOSAN FUEL CELL,Korea,,Corporate - Industrials,Green,1,0.00bn,,Other,Sep-21
DORIS DUKE CHARITABLE FOUNDATION/THE,United States,,Corporate - Consumer Discretionary,Social,1,0.10bn,Jul-20,Sustainalytics,Jul-20
DREAM IMPACT TRUST,Canada,,Financials - Real estate,Sustainability,1,0.03bn,,,
DREAM INDUSTRIAL REAL ESTATE INVESTMENT TRUST,Canada,,Financials - Real estate,Green,3,0.69bn,,DNV GL,May-21
DTE ELECTRIC CO,United States,,Corporate - Utilities,Green,5,2.58bn,,,
DTEK RENEWABLES FINANCE BV,Netherlands,,Corporate - Utilities,Green,2,0.36bn,Sep-19,Sustainalytics,Sep-19
DUKE ENERGY CAROLINAS LLC,United States,,Corporate - Utilities,Sustainability,2,1.15bn,,S&P,Nov-21
DUKE ENERGY FLORIDA LLC,United States,,Corporate - Utilities,Sustainability,2,1.15bn,,S&P,Nov-21
DUKE ENERGY PROGRESS LLC,United States,,Corporate - Utilities,Green,1,0.60bn,,,
DUKE ENERGY PROGRESS LLC,United States,,Corporate - Utilities,Sustainability,2,0.90bn,,S&P,Nov-21
DUKE REALTY LP,United States,,Financials - Real estate,Green,2,0.95bn,,,
"DZ BANK AG DEUTSCHE ZENTRAL-GENOSSENSCHAFTSBANK, FRANKFURT AM MAIN",Germany,,Financials - Banking,Green,3,0.94bn,,S&P,Nov-21
DZ HYP AG,Germany,,Financials - Consumer Finance,Green,3,2.18bn,,ISS-Oekom,Feb-22
E.ON INTERNATIONAL FINANCE B.V.,Netherlands,,Corporate - Utilities,Green,1,1.01bn,Oct-17,Sustainalytics,Oct-18
E.ON SE,Germany,,Corporate - Utilities,Green,10,8.65bn,Dec-21,Sustainalytics,Dec-21
E.SUN COMMERCIAL BANK LTD,Taiwan,,Financials - Banking,Green,2,0.16bn,,,
E.SUN COMMERCIAL BANK LTD,Taiwan,,Financials - Banking,Social,2,0.10bn,,Deloitte,Jan-23
E.SUN COMMERCIAL BANK LTD,Taiwan,,Financials - Banking,Sustainability,2,0.06bn,,,
EAGLESTONE GROUP S.A.R.L.,Luxembourg,,Financials - Real estate,Green,1,0.03bn,,ISS-Oekom,Sep-22
EAST JAPAN RAILWAY CO,Japan,,Corporate - Consumer Discretionary,Sustainability,5,1.10bn,Dec-22,DNV GL,Dec-22
EAST JAPAN RAILWAY COMPANY,Japan,,Corporate - Consumer Discretionary,Green,1,0.81bn,,DNV GL,Feb-23
EAST NIPPON EXPRESSWAY CO LTD,Japan,,Corporate - Industrials,Social,44,13.31bn,Jun-21,Other,Jul-22
EAST RENEWABLE AB,Sweden,,Corporate - Utilities,Green,1,0.08bn,,Cicero,Jun-19
EASTMAN CHEMICAL CO,United States,,Corporate - Materials,Green,1,0.50bn,,S&P,Feb-23
EASTNINE AB,Sweden,,Financials - Real estate,Green,1,0.05bn,,Cicero,Sep-20
EATON CORP,Ireland,,Corporate - Industrials,Sustainability Linked Bonds,1,1.30bn,,S&P,Aug-22
EC FINANCE PLC,United Kingdom,,Corporate - Consumer Discretionary,Sustainability Linked Bonds,2,0.58bn,,Vigeo Eiris,Sep-21
ECO MATERIAL TECHNOLOGIES INC,United States,,Corporate - Materials,Green,2,0.53bn,,S&P,Jan-22
ECOBANK TRANSNATIONAL INC,Togo,,Financials - Banking,Sustainability,2,0.35bn,,DNV GL,May-21
ECUADOR (REPUBLIC OF),Ecuador,,SSA - Sovereigns,Social,2,0.40bn,,Vigeo Eiris,Oct-19
ECUADOR SOCIAL BOND SARL,Luxembourg,,Financials - Financial services,Social,2,0.33bn,,Vigeo Eiris,Oct-19
EDENRED,France,,Corporate - Consumer Discretionary,Sustainability Linked Bonds,1,0.48bn,,Other,Jun-21
EDP - ENERGIAS DE PORTUGAL SA,Portugal,,Corporate - Utilities,Green,7,6.26bn,Mar-22,Sustainalytics,Mar-22
EDP FINANCE B.V.,Netherlands,,Corporate - Utilities,Green,8,4.56bn,Mar-22,Sustainalytics,Mar-22
EDRA SOLAR SDN BHD,Malaysia,,Corporate - Utilities,Green,5,0.04bn,Sep-19,Other,Sep-19
EDRA SOLAR SDN BHD,Malaysia,,Corporate - Utilities,Sustainability,1,0.01bn,,,
EEW ENERGY FROM WASTE GMBH,Germany,,Corporate - Utilities,Green,1,0.48bn,May-21,Sustainalytics,May-21
EGYPT (THE ARAB REPUBLIC OF),Egypt,,SSA - Sovereigns,Green,2,0.75bn,,Vigeo Eiris,Sep-20
EIDSIVA ENERGI AS,Norway,,Corporate - Utilities,Green,10,0.83bn,,Cicero,Nov-21
EIENDOMSKREDITT AS,Norway,,Financials - Consumer Finance,Green,1,0.04bn,Apr-21,Sustainalytics,Apr-21
EIKA BOLIGKREDITT AS,Norway,,Financials - Consumer Finance,Green,2,1.11bn,,ISS-Oekom,Jan-21
EIKEN CHEMICAL CO LTD,Japan,,Corporate - Health Care,Sustainability,1,0.03bn,,,
ELAND WORLD LTD,Korea,,Corporate - Consumer Discretionary,Sustainability,1,0.09bn,Oct-21,Moody's,Oct-21
ELECTRIC POWER DEVELOPMENT CO LIMITED,Japan,,Corporate - Utilities,Green,3,0.40bn,,DNV GL,Nov-20
ELECTRICITE DE FRANCE (E.D.F.) S.A.,France,,Corporate - Utilities,Green,9,9.71bn,Aug-17,Cicero,Jul-22
ELECTRICITE DE FRANCE (E.D.F.) S.A.,France,,Corporate - Utilities,Social,1,1.53bn,,S&P,May-21
ELEKTA AB,Sweden,,Corporate - Health Care,Sustainability Linked Bonds,2,0.17bn,,DNV GL,Jul-21
ELI LILLY & CO,United States,,Corporate - Health Care,Sustainability,1,0.71bn,Sep-21,Sustainalytics,Sep-21
ELIA TRANSMISSION BELGIUM SA/NV,Belgium,,Corporate - Utilities,Green,1,0.54bn,,Other,Dec-21
ELLEVIO AB,Sweden,,Corporate - Utilities,Green,2,0.21bn,,Cicero,Jun-19
EMISSIONSKONSORTIUM DER GEMEINSAMEN LANDESFOERDERINSTITUTE,Germany,,SSA - Quasi-sovereigns,Social,1,0.50bn,,Other,Sep-22
EMLAK VARLIK KIRALAMA AS,Turkey,,Financials - Financial services,Sustainability,1,0.00bn,,,
EMPRESA DISTRIBUIDORA Y COMERCIALIZADORA NORTE SOCIEDAD ANONIMA (EDENOR S.A.),Argentina,,Corporate - Utilities,Social,2,0.06bn,Apr-22,Other,Apr-22
"EMPRESA GENERADORA DE ELECTRICIDAD HAINA, S.A.",Dominican Republic,,Corporate - Utilities,Sustainability Linked Bonds,2,0.30bn,Oct-21,Sustainalytics,Oct-21
EMPRESA NACIONAL DE TELECOMUNICACIONES S.A.,Chile,,Corporate - Communications,Sustainability,2,0.00bn,Sep-21,Sustainalytics,Sep-21
ENBRIDGE INC,Canada,,Corporate - Energy,Sustainability Linked Bonds,2,1.86bn,,ISS-Oekom,Jun-21
ENBW ENERGIE BADEN-WÜRTTEMBERG AG,Germany,,Corporate - Utilities,Green,4,2.26bn,May-18,Other,Aug-21
ENBW INTERNATIONAL FINANCE B.V.,Netherlands,,Corporate - Utilities,Green,3,1.61bn,,ISS-Oekom,Sep-22
ENCAVIS AG,Germany,,Corporate - Utilities,Green,1,0.02bn,,ISS-Oekom,Mar-21
ENEL FINANCE AMERICA LLC,United States,,Corporate - Utilities,Sustainability Linked Bonds,2,2.00bn,,Vigeo Eiris,Jan-22
ENEL FINANCE INTERNATIONAL N.V.,Netherlands,,Corporate - Utilities,Green,3,3.97bn,Jan-17,Vigeo Eiris,Dec-18
ENEL FINANCE INTERNATIONAL N.V.,Netherlands,,Corporate - Utilities,Sustainability Linked Bonds,34,27.32bn,,Vigeo Eiris,Jan-22
ENEL GREEN POWER DAMASCENA EOLICA SA,Brazil,,Corporate - Energy,Green,1,0.00bn,,,
ENEL GREEN POWER MANICOBA EOLICA SA,Brazil,,Corporate - Energy,Green,1,0.00bn,,Vigeo Eiris,Feb-17
ENEOS HOLDINGS INC,Japan,,Corporate - Energy,Green,1,0.14bn,,DNV GL,Nov-20
ENEOS HOLDINGS INC,Japan,,Corporate - Energy,Sustainability Linked Bonds,2,0.76bn,,Japan Credit Rating Agency,May-22
ENERCARE CONNECTIONS INC,Canada,,Corporate - Consumer Discretionary,Green,1,0.11bn,,,
ENERGY ABSOLUTE PCL,Thailand,,Corporate - Utilities,Green,4,0.28bn,,DNV GL,Aug-19
ENERJISA ENERJI AS,Turkey,,Corporate - Utilities,Green,1,0.08bn,Nov-21,Sustainalytics,Nov-21
ENEXIS HOLDING NV,Netherlands,,Corporate - Utilities,Green,2,1.16bn,,ISS-Oekom,May-20
ENGIE,France,,Corporate - Utilities,Green,20,18.93bn,,Vigeo Eiris,Mar-20
ENGIE BRASIL ENERGIA SA,Brazil,,Corporate - Utilities,Green,4,0.40bn,,Vigeo Eiris,Jun-19
ENI S.P.A.,Italy,,Corporate - Energy,Sustainability Linked Bonds,2,2.03bn,,Vigeo Eiris,May-21
ENN ENERGY HOLDINGS LTD,Cayman Islands,,Corporate - Utilities,Green,4,1.30bn,Apr-22,Other,Apr-22
ENTERGY LOUISIANA LLC,United States,,Corporate - Utilities,Green,1,0.50bn,,S&P,Aug-22
ENTRA ASA,Norway,,Financials - Real estate,Green,13,2.17bn,,Cicero,May-18
EPIROC AB,Sweden,,Corporate - Industrials,Green,2,0.19bn,,Cicero,May-22
EPSO-G UAB,Lithuania,,Corporate - Utilities,Sustainability Linked Bonds,1,0.08bn,,Cicero,May-22
EQT AB (PUBL),Sweden,,Financials - Financial services,Sustainability Linked Bonds,3,2.27bn,,ISS-Oekom,Mar-22
EQUATORIAL ENERGIA SA,Brazil,,Corporate - Utilities,Green,2,0.05bn,,S&P,Dec-21
EQUINIX INC.,United States,,Financials - Real estate,Green,6,4.87bn,Aug-20,Sustainalytics,Aug-20
EQUITABLE FINANCIAL LIFE GLOBAL FUNDING,United States,,Financials - Insurance,Sustainability,2,0.50bn,,ISS-Oekom,Jul-21
ERG S.P.A.,Italy,,Corporate - Utilities,Green,3,1.86bn,,Vigeo Eiris,Aug-21
ERP OPERATING LP,United States,,Financials - Real estate,Green,1,0.40bn,,,
ERSTE GROUP BANK AG,Austria,,Financials - Banking,Green,1,0.79bn,,ISS-Oekom,May-21
ERSTE GROUP BANK AG,Austria,,Financials - Banking,Sustainability,2,0.62bn,,ISS-Oekom,May-21
ERSTE JELZALOGBANK ZRT,Hungary,,Financials - Banking,Green,2,0.06bn,,ISS-Oekom,May-21
ESB FINANCE DAC,Ireland,,Corporate - Utilities,Green,2,1.35bn,May-19,Sustainalytics,May-19
ESTADO DE MEXICO,Mexico,,SSA - Quasi-sovereigns,Sustainability,1,0.00bn,May-22,Sustainalytics,May-22
ETABLISSEMENTS FRANZ COLRUYT NV,Belgium,,Corporate - Consumer Staples,Green,1,0.27bn,Dec-22,Sustainalytics,Dec-22
ETHIAS SA,Belgium,,Financials - Insurance,Green,1,0.28bn,Apr-23,Sustainalytics,Apr-23
EURASIAN DEVELOPMENT BANK,Supranationals,,SSA - Supranationals,Social,1,0.05bn,,,
EUROCAJA RURAL SCC,Spain,,Financials - Banking,Sustainability,1,0.83bn,,Vigeo Eiris,Aug-21
EUROFIMA,Supranationals,,SSA - Supranationals,Green,13,6.11bn,Apr-21,Sustainalytics,Apr-21
EUROGRID GMBH,Germany,,Corporate - Utilities,Green,2,1.56bn,Jun-22,Other,Jun-22
EUROPEAN BANK FOR RECONSTRUCTION AND DEVELOPMENT (E.B.R.D.),Supranationals,,SSA - Supranationals,Green,36,6.19bn,,Cicero,Jul-13
EUROPEAN BANK FOR RECONSTRUCTION AND DEVELOPMENT (E.B.R.D.),Supranationals,,SSA - Supranationals,Social,10,1.16bn,,,
EUROPEAN ENERGY A/S,Denmark,,Corporate - Energy,Green,6,1.02bn,,DNV GL,Jul-21
EUROPEAN INVESTMENT BANK,Supranationals,,SSA - Supranationals,Green,61,65.92bn,Jun-19,,
EUROPEAN INVESTMENT BANK,Supranationals,,SSA - Supranationals,Sustainability,13,15.63bn,,,
EUROPEAN UNION,Supranationals,,SSA - Supranationals,Green,4,48.60bn,Sep-21,Vigeo Eiris,Sep-21
EUROPEAN UNION,Supranationals,,SSA - Supranationals,Social,13,116.32bn,Sep-20,Sustainalytics,Sep-20
EUSOLAG EUROPEAN SOLAR AG,Germany,,Corporate - Energy,Green,1,0.14bn,,ISS-Oekom,Mar-22
EVERCORE CASA DE BOLSA SA DE CV / GOBIERNO DEL DISTRITO FEDERAL,Mexico,,Financials - Financial services,Green,1,0.05bn,Nov-16,Sustainalytics,Nov-16
EVERCORE CASA DE BOLSA SA DE CV / GOBIERNO DEL DISTRITO FEDERAL,Mexico,,Financials - Financial services,Sustainability,1,0.11bn,Sep-17,Sustainalytics,Sep-17
EVN AG,Austria,,Corporate - Utilities,Green,1,0.12bn,,Other,Sep-20
EVONIK INDUSTRIES AG,Germany,,Corporate - Materials,Green,2,1.38bn,,ISS-Oekom,Aug-21
EWE AKTIENGESELLSCHAFT,Germany,,Corporate - Utilities,Green,1,0.61bn,,ISS-Oekom,May-21
EXCELLENCE COMMERCIAL MANAGEMENT LTD,Cayman Islands,,Financials - Real estate,Green,1,0.10bn,,,
EXEO GROUP INC,Japan,,Corporate - Industrials,Green,1,0.09bn,,Japan Credit Rating Agency,Dec-21
EXPAND LEAD LTD,Virgin Islands,,Financials - Real estate,Sustainability,1,0.30bn,Jul-21,S&P,Jul-21
EXPORT IMPORT BANK OF THAILAND,Thailand,,SSA - Quasi-sovereigns,Green,2,0.14bn,Aug-22,DNV GL,Aug-22
EXPORT-IMPORT BANK OF INDIA,India,,SSA - Quasi-sovereigns,Sustainability,3,1.10bn,Dec-21,Sustainalytics,Dec-21
EXPORT-IMPORT BANK OF KOREA,Korea,,SSA - Quasi-sovereigns,Green,8,4.61bn,Sep-21,DNV GL,Sep-21
EXPORT-IMPORT BANK OF KOREA,Korea,,SSA - Quasi-sovereigns,Social,1,0.59bn,Sep-20,Sustainalytics,Sep-20
F.I.S. - FABBRICA ITALIANA SINTETICI S.P.A.,Italy,,Corporate - Materials,Sustainability Linked Bonds,2,0.40bn,Jan-22,Sustainalytics,Jan-22
FABEGE AB,Sweden,,Financials - Real estate,Green,21,1.11bn,,Cicero,Jun-19
FALCK RENEWABLES SPA,Italy,,Corporate - Utilities,Green,1,0.24bn,,DNV GL,Sep-20
FAMILY FOREST IMPACT FOUNDATION LLC,United States,,Corporate - Consumer Discretionary,Green,1,0.01bn,,,
FAMUR SA,Poland,,Corporate - Industrials,Green,1,0.10bn,Sep-21,Sustainalytics,Sep-21
FANA SPAREBANK BOLIGKREDITT AS,Norway,,Financials - Banking,Green,3,0.16bn,,Cicero,Dec-19
Fannie Mae (Multi-family green bonds),United States,,Financials - Specialty finance,Green,4868,111.26bn,,Cicero,Aug-20
"Fannie Mae (Multi-family social bonds)
* Includes $1.216 billion in Social Bonds that also meet the criteria of Fannie Mae's Green Bond program.",United States,,Financials - Specialty finance,Social,1942,24.95bn,Dec-20,Sustainalytics,Dec-20
Fannie Mae (Single-family green bonds),United States,,Financials - Specialty finance,Green,109,2.46bn,,Cicero,Jun-20
FAR EASTERN NEW CENTURY CORP,Taiwan,,Corporate - Consumer Discretionary,Green,1,0.03bn,Nov-20,,
FAR EASTERN NEW CENTURY CORP,Taiwan,,Corporate - Consumer Discretionary,Social,1,0.04bn,May-21,,
FAR EASTERN NEW CENTURY CORP,Taiwan,,Corporate - Consumer Discretionary,Sustainability,1,0.13bn,Nov-20,,
FAR EASTONE TELECOMMUNICATIONS CO. LTD,Taiwan,,Corporate - Communications,Social,3,0.16bn,,Deloitte,Jan-22
FASTIGHETS AB BALDER,Sweden,,Financials - Real estate,Green,5,0.47bn,,Cicero,May-19
FASTIGHETS AB STENVALVET,Sweden,,Financials - Real estate,Green,1,0.07bn,,Cicero,May-21
FASTIGHETS AB TRIANON,Sweden,,Financials - Real estate,Sustainability,2,0.10bn,Oct-22,ISS-Oekom,Oct-22
FASTIGHETSBOLAGET EMILSHUS AB,El Salvador,,Financials - Real estate,Green,2,0.07bn,,Cicero,Sep-21
FASTPARTNER AB,Sweden,,Financials - Real estate,Green,5,0.56bn,Nov-18,Cicero,Nov-18
FAURECIA,France,,Corporate - Consumer Discretionary,Sustainability Linked Bonds,1,1.39bn,,ISS-Oekom,Oct-21
FAURECIA SE,France,,Corporate - Consumer Discretionary,Green,1,0.48bn,,ISS-Oekom,Mar-21
FAURECIA SE,France,,Corporate - Consumer Discretionary,Sustainability Linked Bonds,1,0.70bn,,ISS-Oekom,Oct-21
FCC SERVICIOS MEDIO AMBIENTE HOLDING SAU,Spain,,Corporate - Industrials,Green,2,1.21bn,,Cicero,Nov-19
FEDERAL HOME LOAN MORTGAGE CORPORATION,United States,,Financials - Specialty finance,Green,1,0.42bn,,Cicero,Nov-21
FEDERAL STATE OF HESSEN,Germany,,SSA - Quasi-sovereigns,Green,1,0.73bn,,ISS-Oekom,May-21
FEDERATION DES CAISSES DESJARDINS DU QUEBEC,Canada,,Financials - Banking,Sustainability,1,0.39bn,,Vigeo Eiris,May-21
FEDEX CORP,Belgium,,Corporate - Industrials,Sustainability,1,0.73bn,Apr-21,Sustainalytics,Apr-21
FERDE AS,Norway,,SSA - Quasi-sovereigns,Green,7,0.57bn,,Cicero,Sep-22
FERROVIE DELLO STATO ITALIANE SPA,Italy,,Corporate - Consumer Discretionary,Green,6,4.38bn,Jun-22,Sustainalytics,Jun-22
FIBRA PROLOGIS,Mexico,,Financials - Real estate,Green,2,0.45bn,Aug-20,Sustainalytics,Aug-20
FIBRA UNO ADMINISTRACION SA DE CV,Mexico,,Financials - Real estate,Sustainability,2,0.40bn,,Other,Oct-21
FIBRIA OVERSEAS FINANCE LTD,Cayman Islands,,Corporate - Materials,Green,1,0.70bn,Nov-16,Sustainalytics,Nov-16
FICOLO OY,Finland,,Corporate - Technology,Green,1,0.02bn,,Cicero,Sep-19
FIFTH THIRD BANCORP,United States,,Financials - Real estate,Green,1,0.50bn,Oct-21,Sustainalytics,Oct-21
FINANCE DEPARTMENT GOVERNMENT OF SHARJAH,United Arab Emirates,,SSA - Sovereigns,Sustainability,2,2.00bn,,S&P,Feb-23
FINANCIERA DE DESARROLLO TERRITORIAL S.A.,Colombia,,SSA - Quasi-sovereigns,Sustainability,2,0.12bn,,Vigeo Eiris,Oct-18
FINANCIERE APSYS,France,,Financials - Real estate,Green,1,0.04bn,,,
FINGRID OYJ,Finland,,Corporate - Utilities,Green,1,0.12bn,,Cicero,Oct-17
FINNFUND,Finland,,Financials - Financial services,Sustainability,1,0.07bn,Sep-22,Sustainalytics,Sep-22
FINSBURY SQUARE 2021-1 PLC,United Kingdom,,Financials - Specialty finance,Green,2,0.89bn,,ISS-Oekom,Jun-21
FINTOIL HAMINA OY,Finland,,Corporate - Energy,Green,1,0.08bn,,Cicero,Jun-21
FIRST ABU DHABI BANK PJSC,United Arab Emirates,,Financials - Banking,Green,13,2.26bn,Jun-20,Vigeo Eiris,Mar-17
FIRST CAMP GROUP AB,Sweden,,Corporate - Utilities,Sustainability Linked Bonds,1,0.18bn,,ISS-Oekom,Nov-22
FIRST COMMERCIAL BANK CO LTD,Taiwan,,Financials - Banking,Sustainability,2,0.09bn,,PwC,Aug-22
FIRST NATIONAL BANK OF NAMIBIA LTD,Namibia,,Financials - Banking,Green,1,0.01bn,Dec-21,Sustainalytics,Dec-21
FIRST REAL ESTATE INVESTMENT TRUST,Singapore,,Financials - Real estate,Social,1,0.07bn,,DNV GL,Mar-22
FIRSTRAND BANK LTD,South Africa,,Financials - Banking,Sustainability,2,0.14bn,Dec-21,Sustainalytics,Dec-21
FISKER INC,United States,,Corporate - Consumer Discretionary,Green,1,0.67bn,,,
FIVEN ASA,Australia,,Corporate - Technology,Sustainability Linked Bonds,1,0.08bn,,DNV GL,Jun-21
FJELLINJEN A/S,Norway,,Corporate - Industrials,Green,1,0.06bn,,Cicero,Nov-21
FLAGSHIP FINANCE PLC,United Kingdom,,Financials - Real estate,Sustainability,1,0.35bn,Jul-21,Sustainalytics,Jul-21
FLCT TREASURY PTE LTD,Singapore,,Financials - Real estate,Sustainability,1,0.11bn,,,
FLEXENTIAL ISSUER LLC,United States,,Corporate - Technology,Green,3,1.61bn,Nov-21,Sustainalytics,Nov-21
FLUVIUS SYSTEM OPERATOR CVBA,Belgium,,Corporate - Utilities,Green,1,0.71bn,,ISS-Oekom,Nov-20
FMG RESOURCES AUGUST 2006 PTY LTD,Australia,,Corporate - Materials,Green,1,0.80bn,,ISS-Oekom,Nov-21
FOMENTO ECONOMICO MEXICANO S.A. DE C.V.,Mexico,,Corporate - Consumer Staples,Sustainability Linked Bonds,2,1.45bn,Apr-21,Sustainalytics,Apr-21
FONCIERE INEA,France,,Financials - Real estate,Green,2,0.08bn,,Vigeo Eiris,Feb-18
FONDO ESPECIAL PARA FINANCIAMIENTOS AGROPECUARIOS,Mexico,,Corporate - Consumer Discretionary,Green,1,0.13bn,Aug-18,Climate Bonds Initiative Certified,Feb-20
FONDO ESPECIAL PARA FINANCIAMIENTOS AGROPECUARIOS,Mexico,,Corporate - Consumer Discretionary,Social,3,0.51bn,Sep-20,Moody's,May-22
FONDO FINANCIERO PARA EL DESARROLLO DE LA CUENCA DEL PLATA,Supranationals,,SSA - Supranationals,Sustainability,2,0.05bn,Dec-21,Sustainalytics,Dec-21
FONDO MIVIVIENDA S.A.,Peru,,SSA - Agencies,Sustainability,2,0.60bn,,ISS-Oekom,Mar-22
FORD FOUNDATION/THE,United States,,Corporate - Consumer Discretionary,Social,2,1.00bn,Jun-20,Sustainalytics,Jun-20
FORD MOTOR COMPANY,United States,,Corporate - Consumer Discretionary,Green,2,4.25bn,,,
FOREST FINANCE GMBH,United States,,Financials - Financial services,Green,1,0.03bn,Oct-22,Vigeo Eiris,Sep-20
FORTISBC ENERGY INC,Canada,,Corporate - Utilities,Green,2,0.26bn,,Cicero,Jun-20
FOSHAN GAOMING CONSTRUCTIONS INVESTMENT GROUP CO LTD,China (mainland),,Corporate - Industrials,Sustainability,1,0.20bn,Mar-22,Other,Mar-22
FRANSHION BRILLIANT LTD,Virgin Islands,,Financials - Real estate,Green,1,0.25bn,Jul-18,Sustainalytics,Jul-18
FRASERS PROPERTY AHL LTD,Australia,,Financials - Real estate,Sustainability,1,0.22bn,,Deloitte,Aug-21
FRASERS PROPERTY TREASURY PTE LTD,Singapore,,Financials - Real estate,Green,1,0.36bn,,Deloitte,Apr-22
Freddie Mac (Multi-family green bonds),United States,,Financials - Specialty finance,Green,65,5.04bn,Jun-19,Cicero,Nov-21
Freddie Mac (Multi-family social bonds),United States,,Financials - Specialty finance,Social,307,5.10bn,Aug-20,Sustainalytics,Aug-20
Freddie Mac (Multi-family sustainability bonds),United States,,Financials - Specialty finance,Sustainability,44,5.42bn,Sep-20,Sustainalytics,Sep-20
Freddie Mac (Single-family green bonds),United States,,Financials - Specialty finance,Green,173,2.57bn,,Cicero,Nov-21
Freddie Mac (Single-family social bonds),United States,,Financials - Specialty finance,Social,0,0.00bn,Aug-22,Sustainalytics,Aug-22
FRENCH REPUBLIC GOVERNMENT BOND OAT,France,,SSA - Sovereigns,Green,3,57.21bn,,Vigeo Eiris,Jan-17
FS LUXEMBOURG SARL,Luxembourg,,Corporate - Energy,Green,3,0.76bn,,Other,Jun-20
FUJIAN ZHANGLONG GROUP CO LTD,China (mainland),,Corporate - Industrials,Green,1,0.50bn,,,
FUJIFILM HOLDINGS CORP,Japan,,Corporate - Technology,Social,4,0.94bn,,DNV GL,Mar-22
FUTUREAL DEVELOPMENT HOLDING KFT,Hungary,,Corporate - Industrials,Green,1,0.16bn,Feb-21,Sustainalytics,Feb-21
"FUYO GENERAL LEASE CO., LTD.",Japan,,Financials - Commercial Finance,Green,2,0.14bn,Oct-18,Japan Credit Rating Agency,Oct-18
"FUYO GENERAL LEASE CO., LTD.",Japan,,Financials - Commercial Finance,Sustainability,1,0.09bn,,,
"FUYO GENERAL LEASE CO., LTD.",Japan,,Financials - Commercial Finance,Sustainability Linked Bonds,1,0.10bn,,Japan Credit Rating Agency,Nov-20
FUZHOU METRO GROUP CO LTD,China (mainland),,Corporate - Consumer Discretionary,Green,3,0.16bn,,Other,Aug-22
G CITY EUROPE LIMITED,Jersey,,Financials - Real estate,Green,1,0.42bn,Feb-20,Sustainalytics,Feb-20
GACI FIRST INVESTMENT CO,Cayman Islands,,Financials - Financial services,Green,6,8.50bn,,DNV GL,Jun-22
GAKKEN HOLDINGS CO LTD,Japan,,Corporate - Consumer Discretionary,Social,1,0.06bn,Mar-20,Japan Credit Rating Agency,Mar-20
GANSU PROVINCIAL HIGHWAY AVIATION TOURISM INVESTMENT GROUP CO LTD,China (mainland),,Corporate - Consumer Discretionary,Sustainability,1,0.30bn,,,
GANZHOU URBAN INVESTMENT HOLDING GROUP CO LTD,China (mainland),,Corporate - Industrials,Sustainability,1,0.25bn,Jun-22,Other,Jun-22
GCC SAB DE CV,Mexico,,Corporate - Materials,Sustainability Linked Bonds,2,0.50bn,,ISS-Oekom,Jan-22
GD POWER DEVELOPMENT CO LTD,China (mainland),,Corporate - Utilities,Green,4,0.49bn,,Other,Apr-22
GD POWER DEVELOPMENT CO LTD,China (mainland),,Corporate - Utilities,Sustainability Linked Bonds,1,0.16bn,,Other,Apr-21
GECINA,France,,Financials - Real estate,Green,16,6.43bn,Feb-21,ISS-Oekom,Apr-21
GEK TERNA HOLDING REAL ESTATE CO,Greece,,Corporate - Industrials,Sustainability Linked Bonds,1,0.34bn,,Other,Nov-21
GEMDALE EVER PROSPERITY INVESTMENT LTD,China (Hong Kong),,Financials - Real estate,Green,1,0.48bn,,,
GEMENG INTERNATIONAL ENERGY CO LTD,China (mainland),,Corporate - Utilities,Green,1,0.02bn,,Other,Nov-22
GENERAL MILLS INC.,United States,,Corporate - Consumer Staples,Sustainability Linked Bonds,1,0.50bn,,ISS-Oekom,Sep-21
GENERAL MOTORS COMPANY,United States,,Corporate - Industrials,Green,2,2.25bn,,Moody's,Jul-22
GENESIS ENERGY LTD,New Zealand,,Corporate - Utilities,Green,2,0.27bn,,DNV GL,Oct-21
GENNEIA S.A.,Argentina,,Corporate - Utilities,Green,5,0.45bn,Feb-21,Sustainalytics,Feb-21
GENOVA PROPERTY GROUP AB,Sweden,,Financials - Real estate,Green,2,0.18bn,Jan-21,Cicero,Jan-21
GEORGIA GLOBAL UTILITIES JSC,Georgia,,Corporate - Utilities,Green,2,0.25bn,Apr-20,Sustainalytics,Apr-20
GEORGIA POWER CO,United States,,Corporate - Utilities,Green,1,0.33bn,Dec-20,Sustainalytics,Dec-20
GEORGIA POWER CO,United States,,Corporate - Utilities,Sustainability,2,1.55bn,Dec-20,Sustainalytics,Dec-20
GEORGIAN RAILWAY JSC,Georgia,,Corporate - Industrials,Green,2,0.50bn,,S&P,May-21
