symbol,date,price,yield_to_maturity,yield_to_worst,nav
SP_GB_INDEX,2021-08-19,154.02,0.95,0.84,
SP_GB_INDEX,2021-08-20,153.97,0.95,0.84,
SP_GB_INDEX,2021-08-23,154.55,0.96,0.85,
SP_GB_INDEX,2021-08-24,154.74,0.96,0.85,
SP_GB_INDEX,2021-08-25,154.15,0.99,0.88,
SP_GB_INDEX,2021-08-26,154.1,0.99,0.88,
SP_GB_INDEX,2021-08-27,154.51,0.99,0.87,
SP_GB_INDEX,2021-08-30,154.88,0.97,0.86,
SP_GB_INDEX,2021-08-31,154.82,0.99,0.88,
SP_GB_INDEX,2021-09-01,155.16,1.01,0.9,
SP_GB_INDEX,2021-09-02,155.43,1.0,0.89,
SP_GB_INDEX,2021-09-03,155.41,1.02,0.91,
SP_GB_INDEX,2021-09-06,155.27,1.02,0.9,
SP_GB_INDEX,2021-09-07,154.68,1.04,0.94,
SP_GB_INDEX,2021-09-08,154.45,1.04,0.93,
SP_GB_INDEX,2021-09-09,154.94,1.02,0.91,
SP_GB_INDEX,2021-09-10,154.91,1.03,0.92,
SP_GB_INDEX,2021-09-13,154.69,1.03,0.92,
SP_GB_INDEX,2021-09-14,154.93,1.03,0.91,
SP_GB_INDEX,2021-09-15,154.77,1.04,0.93,
SP_GB_INDEX,2021-09-16,154.1,1.05,0.94,
SP_GB_INDEX,2021-09-17,153.56,1.07,0.96,
SP_GB_INDEX,2021-09-20,153.64,1.07,0.96,
SP_GB_INDEX,2021-09-21,153.76,1.06,0.95,
SP_GB_INDEX,2021-09-22,153.9,1.06,0.95,
SP_GB_INDEX,2021-09-23,153.54,1.1,1.0,
SP_GB_INDEX,2021-09-24,152.88,1.12,1.01,
SP_GB_INDEX,2021-09-27,152.68,1.14,1.03,
SP_GB_INDEX,2021-09-28,152.07,1.16,1.05,
SP_GB_INDEX,2021-09-29,151.65,1.15,1.05,
SP_GB_INDEX,2021-09-30,151.37,1.16,1.05,
SP_GB_INDEX,2021-10-01,151.7,1.14,1.04,
SP_GB_INDEX,2021-10-04,151.92,1.14,1.05,
SP_GB_INDEX,2021-10-05,151.4,1.16,1.07,
SP_GB_INDEX,2021-10-06,150.86,1.18,1.08,
SP_GB_INDEX,2021-10-07,151.0,1.2,1.11,
SP_GB_INDEX,2021-10-08,150.83,1.23,1.13,
SP_GB_INDEX,2021-10-11,150.46,1.26,1.17,
SP_GB_INDEX,2021-10-12,150.12,1.26,1.17,
SP_GB_INDEX,2021-10-13,150.72,1.24,1.15,
SP_GB_INDEX,2021-10-14,151.38,1.25,1.16,
SP_GB_INDEX,2021-10-15,151.47,1.26,1.16,
SP_GB_INDEX,2021-10-18,151.21,1.28,1.19,
SP_GB_INDEX,2021-10-19,151.37,1.3,1.21,
SP_GB_INDEX,2021-10-20,151.52,1.28,1.19,
SP_GB_INDEX,2021-10-21,151.27,1.32,1.23,
SP_GB_INDEX,2021-10-22,151.33,1.31,1.22,
SP_GB_INDEX,2021-10-25,151.23,1.3,1.2,
SP_GB_INDEX,2021-10-26,151.1,1.3,1.2,
SP_GB_INDEX,2021-10-27,151.59,1.27,1.18,
SP_GB_INDEX,2021-10-28,152.07,1.28,1.19,
SP_GB_INDEX,2021-10-29,150.77,1.32,1.23,
SP_GB_INDEX,2021-11-01,150.95,1.32,1.22,
SP_GB_INDEX,2021-11-02,151.23,1.27,1.18,
SP_GB_INDEX,2021-11-03,151.28,1.27,1.18,
SP_GB_INDEX,2021-11-04,151.36,1.23,1.14,
SP_GB_INDEX,2021-11-05,152.01,1.2,1.11,
SP_GB_INDEX,2021-11-08,152.03,1.22,1.13,
SP_GB_INDEX,2021-11-09,152.38,1.2,1.11,
SP_GB_INDEX,2021-11-10,151.21,1.24,1.15,
SP_GB_INDEX,2021-11-11,150.56,1.26,1.17,
SP_GB_INDEX,2021-11-12,150.53,1.2,1.11,
SP_GB_INDEX,2021-11-15,150.21,1.22,1.12,
SP_GB_INDEX,2021-11-16,149.44,1.23,1.14,
